row_id,model_score,A_score,B_score,C_score,D_score,is_overlap_item,,,,,,,
2628,100,,,,6,No,,,,,,,
10104,100,,,,6,No,,,,,,,
3050,90,,,,6,No,,,,,,,
763,100,,,,6,No,,,,,,,
6544,100,,,,6,No,,,,,,,
7584,100,,,,6,No,,,,,,,
9984,100,,,,6,No,,,,,,,
6862,40,,,,1,No,,,,,,,
9038,30,,,,1,No,,,,,,,
5825,100,,,,6,No,,,,,,,
2957,100,,,,6,No,,,,,,,
4175,100,,,,6,No,,,,,,,
7420,100,,,,6,No,,,,,,,
720,100,,,,6,No,,,,,,,
1483,100,,,,6,No,,,,,,,
8315,100,,,,6,No,,,,,,,
4585,100,,,,6,No,,,,,,,
6713,100,,,,6,No,,,,,,,
7747,60,,,,4,No,,,,,,,
900,50,,,,3,No,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
